difficulty,prompt,o1,o2,o3,o4
N5,**新しい**くるまですね,あたらしい,あだらしい,あらたしい,あらだしい
N5,車,くるま,くろま,くるも,くまる
N5,大きい,おおきい,おきい,おうきい,おきな
N5,小さい,ちいさい,ちさい,ちいさな,ちいさ
N5,あの**ほてる**はゆうめいです,ホテル,ホラル,ホラハ,ホテハ
N5,ここは___です。べんきょうできません。,うるさい,くらい,さむい,あぶない
N5,きのうは**雨**がふっていました。,あめ,かぜ,はれ,ゆき
N5,みんなでがっこうから**出**ましょう。,でましょう,てましょう,しましょう,みましょう
N5,にほんの**七月**はあついです。,しちがつ,しちげつ,ななげつ,しちつき
N5,いえの**外**にかわいいネコがいます。,そと,うえ,した,なか
N5,**お母さん**はレストランでひるごはんをたべています。,おかあさん,おははさん,おにいさん,おとうさん
N5,きのうは**3時間**べんきょうをしました。,じかん,ときあいだ,ときかん,しかん
N5,このはしはとても**長**いです。,ながい,ちょうい,なかい,あつい
N5,そのデパートに**入**りましょう。,入りましょう,人りましょう,八りましょう,タりましょう
N5,**きょう**はいちがつここのかです。,今日,数日,昨日,明日
N5,**おとうさん**がいえでテレビをみています。,お父さん,お日さん,お母さん,お火さん
N5,**ともだち**とどうぶつえんにいきました。,友だち,公だち,文だち,太だち
N5,**かわ**でたくさんのさかながおよいでいます。,川,三,火,山
N5,あついひにアイスクリームを___。,たべる,ねる,たつ,みがく
N5,かれは___からはだがきれいだ。,わかい,おおきい,すくない,たかい
N5,ごはんをたべるよ。___！,いただきます,こんばんは,おはよう,さようなら
N5,やせたいから___をします。,うんどう,ゲーム,りょうり,べんきょう
N5,このレストランのうどんは___です。,ほそい,げんき,うるさい,おそい
N5,このなかでさいしょのりょうりがいちばんおいしかったです。,このなかでひとつめのりょうりがいちばんおいしかったです。,このなかでふたつめのりょうりがいちばんおいしかったです。,このなかでさいごのりょうりがいちばんおいしかったです。,このなかでつぎのりょうりがいちばんおいしかったです。
N5,きのうはいえでアイスクリームをたべました。,きのうはいえでつめたいたべものをたべました。,きのうはいえであついたべものをたべました。,きのうはいえであたたかいたべものをたべました。,きのうはいえでさむいたべものをたべました。
N5,わたしにのみものをください。,わたしにおちゃをください。,わたしにおもちゃをください。,わたしにおかしをください。,わたしにほんをください。
N5,**三月**にかぞくとどうぶつえんへいきました。,さんがつ,さんげつ,さんつき,ざんつき
N5,いっしょに**北**へあるきましょう。,きた,みなみ,にし,ひがし
N5,あなたはその**国**をしっていますか。,くに,うに,くち,かに
N5,きょうはおとうさんとスーパーへ**行**きました。,いきました,ききました,かきました,なきました
N5,あの**高**いテレビをかいましょう。,たかい,やすい,こうい,ひくい
N5,あついから**水**をのみました。,みず,すい,おちゃ,みす
